date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:57	203734/203734	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b95-31bd6%22	https://htmldemo.net/subas/subas/index.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/index.html	(from )
18:18:58	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Sep%202024%2015:18:56%20GMT	https://htmldemo.net/robots.txt		(from )
18:18:58	2112/2112	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Sep%202024%2015:18:57%20GMT	https://htmldemo.net/subas/subas/img/icon/favicon.png	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/img/icon/favicon.png	(from https://htmldemo.net/subas/subas/index.html)
18:18:59	6266/6266	---MCZ	200	added ('OK')	text/css	etag:W/%22636b8c92-187a%22	https://htmldemo.net/subas/subas/lib/css/nivo-slider.css	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/lib/css/nivo-slider.css	(from https://htmldemo.net/subas/subas/index.html)
18:18:59	194855/194855	---MCZ	200	added ('OK')	text/css	etag:W/%22636b8bac-2f927%22	https://htmldemo.net/subas/subas/css/bootstrap.min.css	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/css/bootstrap.min.css	(from https://htmldemo.net/subas/subas/index.html)
18:18:59	1165/1165	---MCZ	200	added ('OK')	text/css	etag:W/%22636b8bae-48d%22	https://htmldemo.net/subas/subas/css/core.css	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/css/core.css	(from https://htmldemo.net/subas/subas/index.html)
18:19:00	484/484	---MCZ	200	added ('OK')	text/css	etag:W/%22636b8bf5-1e4%22	https://htmldemo.net/subas/subas/css/shortcode/shortcodes.css	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/css/shortcode/shortcodes.css	(from https://htmldemo.net/subas/subas/index.html)
18:19:00	37394/37394	---MCZ	200	added ('OK')	text/css	etag:W/%22636b8ba4-9212%22	https://htmldemo.net/subas/subas/style.css	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/style.css	(from https://htmldemo.net/subas/subas/index.html)
18:19:01	19249/19249	---MCZ	200	added ('OK')	text/css	etag:W/%22636b8bb4-4b31%22	https://htmldemo.net/subas/subas/css/responsive.css	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/css/responsive.css	(from https://htmldemo.net/subas/subas/index.html)
18:19:01	597/597	---MCZ	200	added ('OK')	text/css	etag:W/%22636b8bb0-255%22	https://htmldemo.net/subas/subas/css/custom.css	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/css/custom.css	(from https://htmldemo.net/subas/subas/index.html)
18:19:01	10283/10283	---MCZ	200	added ('OK')	text/css	etag:W/%22636b8bb6-282b%22	https://htmldemo.net/subas/subas/css/style-customizer.css	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/css/style-customizer.css	(from https://htmldemo.net/subas/subas/index.html)
18:19:01	8608/8608	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636b8c8f-21a0%22	https://htmldemo.net/subas/subas/js/vendor/modernizr-3.11.2.min.js	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/js/vendor/modernizr-3.11.2.min.js	(from https://htmldemo.net/subas/subas/index.html)
18:19:02	91149/91149	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b97-1640d%22	https://htmldemo.net/subas/subas/my-account.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/my-account.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:02	106040/106040	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8ba6-19e38%22	https://htmldemo.net/subas/subas/wishlist.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/wishlist.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:02	70873/70873	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b94-114d9%22	https://htmldemo.net/subas/subas/login.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/login.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:02	2797/2797	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Sep%202024%2015:19:01%20GMT	https://htmldemo.net/subas/subas/img/logo/logo.png	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/img/logo/logo.png	(from https://htmldemo.net/subas/subas/index.html)
18:19:03	199185/199185	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b89-30a11%22	https://htmldemo.net/subas/subas/index-3.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/index-3.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:03	179770/179770	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b88-2be3a%22	https://htmldemo.net/subas/subas/index-2.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/index-2.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:03	191868/191868	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b8c-2ed7c%22	https://htmldemo.net/subas/subas/index-5.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/index-5.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:04	201007/201007	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b8b-3112f%22	https://htmldemo.net/subas/subas/index-4.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/index-4.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:04	188158/188158	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b8f-2defe%22	https://htmldemo.net/subas/subas/index-6.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/index-6.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:04	205647/205647	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b92-3234f%22	https://htmldemo.net/subas/subas/index-8.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/index-8.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:04	201800/201800	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b8f-31448%22	https://htmldemo.net/subas/subas/index-7.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/index-7.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:05	180795/180795	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b86-2c23b%22	https://htmldemo.net/subas/subas/index-10.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/index-10.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:05	202311/202311	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b92-31647%22	https://htmldemo.net/subas/subas/index-9.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/index-9.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:05	172681/172681	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b65-2a289%22	https://htmldemo.net/subas/subas/elements-header-1-sticky.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/elements-header-1-sticky.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:05	174727/174727	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b63-2aa87%22	https://htmldemo.net/subas/subas/elements-header-1-no-sticky.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/elements-header-1-no-sticky.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:06	145951/145951	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b68-23a1f%22	https://htmldemo.net/subas/subas/elements-header-2-sticky.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/elements-header-2-sticky.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:06	70252/70252	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b61-1126c%22	https://htmldemo.net/subas/subas/elements-footer-1.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/elements-footer-1.html	(from https://htmldemo.net/subas/subas/index.html)
18:19:07	145719/145719	---MCZ	200	added ('OK')	text/html	etag:W/%22636b8b66-23937%22	https://htmldemo.net/subas/subas/elements-header-2-no-sticky.html	C:/Users/Orange/Desktop/Project7/Project7/htmldemo.net/subas/subas/elements-header-2-no-sticky.html	(from https://htmldemo.net/subas/subas/index.html)
